선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
서균,64759,한화,0.00,7,0,0,0,0,-,7 1/3,7,0,6,1,1,0,0,1.77,0,0,0,0,34,137,0.292,0,0,1,2,0,0,0,0,0,0,2,1,0,2,9,9,1.00,0.280,19.6,18.7,1.23,7.36,0.17,0.424,0.292,0.716
윤대경,63464,한화,1.59,55,5,0,0,7,1.000,51,48,3,25,3,42,16,9,1.43,0,0,0,0,225,869,0.251,7,0,4,2,3,1,0,0,0,5,10,6,0,5,36,67,0.54,0.304,15.8,17.0,7.41,4.41,1.68,0.344,0.335,0.679
강재민,50705,한화,2.57,50,1,2,1,14,0.333,49,41,3,18,0,57,16,14,1.20,0,0,0,2,203,871,0.227,5,0,3,1,1,2,1,0,0,1,4,13,0,2,33,51,0.65,0.311,17.4,17.8,10.47,3.31,3.17,0.295,0.304,0.599
김진영,67737,한화,3.33,58,3,3,0,8,0.500,54,48,6,22,3,56,26,20,1.30,0,0,0,1,231,949,0.236,4,0,1,2,0,5,0,0,0,3,7,9,0,3,47,54,0.87,0.294,16.4,17.6,9.33,3.67,2.55,0.317,0.345,0.662
장웅정,50706,한화,3.52,2,0,1,0,0,0.000,7 2/3,7,0,6,0,5,3,3,1.70,0,0,0,0,35,156,0.241,1,0,0,0,0,1,0,2,0,0,0,0,0,1,8,9,0.89,0.292,78.0,20.3,5.87,7.04,0.83,0.371,0.276,0.647
송윤준,61156,한화,4.30,26,0,0,0,1,-,23,23,1,13,1,16,11,11,1.57,0,0,0,0,106,434,0.258,7,0,2,1,0,3,0,0,0,0,6,2,0,1,18,33,0.55,0.301,16.7,18.9,6.26,5.09,1.23,0.356,0.371,0.727
김민우,65764,한화,4.34,26,5,10,0,0,0.333,132 2/3,121,15,72,7,124,72,64,1.45,0,0,5,0,593,2460,0.240,16,1,5,4,3,10,2,25,5,0,0,0,0,6,123,141,0.87,0.286,94.6,18.5,8.41,4.88,1.72,0.340,0.364,0.704
문동욱,64554,한화,4.50,19,0,1,1,1,0.000,18,12,2,17,2,9,10,9,1.61,0,0,0,0,83,294,0.194,2,0,2,0,1,1,0,0,0,0,6,2,0,3,26,15,1.73,0.196,15.5,16.3,4.50,8.50,0.53,0.383,0.323,0.706
박상원,67703,한화,4.66,62,1,0,1,10,1.000,58,62,8,20,4,52,35,30,1.41,0,0,0,4,256,981,0.271,14,1,1,2,4,2,1,0,0,1,10,15,0,7,54,63,0.86,0.316,15.8,16.9,8.07,3.10,2.60,0.337,0.445,0.782
정우람,74857,한화,4.80,50,3,5,16,0,0.375,54 1/3,58,4,12,5,53,29,29,1.29,0,0,0,3,230,907,0.283,11,1,4,4,1,2,0,0,0,3,40,20,1,5,33,65,0.51,0.355,18.1,16.7,8.78,1.99,4.42,0.332,0.405,0.737
