선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
김민범,93367,현대,-,1,0,0,0,0,-,0,0,0,1,0,0,0,0,-,0,0,0,0,1,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.000,7.0,-,-,-,0.00,1.000,-,1.000
박민주,76393,현대,0.00,1,0,0,0,0,-,1/3,0,0,0,0,0,0,0,0.00,0,0,0,0,1,3,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.00,0.000,3.0,9.0,0.00,0.00,-,0.000,0.000,0.000
전승윤,75340,현대,0.00,1,0,0,0,0,-,1/3,1,0,1,0,0,0,0,6.00,0,0,0,0,3,14,0.500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-,0.500,14.0,42.0,0.00,27.00,0.00,0.667,0.500,1.167
박준수,70349,현대,2.86,54,6,4,3,4,0.600,50 1/3,41,4,28,9,49,19,16,1.37,0,0,0,1,221,895,0.230,7,0,3,3,2,3,0,0,0,6,17,8,1,4,38,53,0.72,0.289,16.6,17.8,8.76,5.01,1.75,0.358,0.337,0.695
송신영,99314,현대,3.01,55,3,3,14,4,0.500,77 2/3,67,5,27,5,56,29,26,1.21,0,0,0,3,323,1197,0.235,11,0,4,2,4,4,0,0,0,3,28,22,1,10,89,75,1.19,0.274,21.8,15.4,6.49,3.13,2.07,0.310,0.326,0.636
노환수,73343,현대,3.12,51,1,0,0,10,1.000,26,23,2,15,1,24,10,9,1.46,0,0,0,0,118,461,0.232,3,0,3,0,1,2,0,0,0,1,6,15,0,1,26,26,1.00,0.288,9.0,17.7,8.31,5.19,1.60,0.339,0.323,0.662
조용훈,76357,현대,3.21,73,4,7,9,15,0.364,81 1/3,65,5,28,6,52,30,29,1.14,0,0,0,5,336,1216,0.225,9,1,10,3,5,1,1,0,0,4,19,23,1,8,114,61,1.87,0.255,16.7,15.0,5.75,3.10,1.86,0.304,0.315,0.619
김영민,76350,현대,3.48,20,1,0,0,0,1.000,33 2/3,30,3,15,1,18,13,13,1.34,0,0,0,1,143,559,0.236,9,0,0,0,0,0,0,2,0,1,10,1,0,4,49,30,1.63,0.255,28.0,16.6,4.81,4.01,1.20,0.322,0.378,0.700
장원삼,76355,현대,3.63,30,9,10,0,0,0.474,168 2/3,152,16,75,3,132,80,68,1.35,0,0,13,0,719,2806,0.241,30,2,7,2,0,4,0,30,9,0,0,0,0,13,159,191,0.83,0.280,93.5,16.6,7.04,4.00,1.76,0.323,0.370,0.693
김수경,98330,현대,3.88,30,12,7,0,0,0.632,176 1/3,170,19,61,2,127,85,76,1.31,0,0,13,0,750,2898,0.253,31,5,11,3,1,4,0,30,12,0,0,0,0,10,198,181,1.09,0.285,96.6,16.4,6.48,3.11,2.08,0.315,0.398,0.713
