선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
노환수,73343,히어로즈,0.00,1,0,0,0,0,-,1/3,0,0,0,0,0,0,0,0.00,0,0,0,0,1,6,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.000,6.0,18.0,0.00,0.00,-,0.000,0.000,0.000
황두성,97423,히어로즈,3.51,40,8,3,9,0,0.727,92 1/3,76,10,35,2,79,37,36,1.20,0,0,5,1,385,1494,0.224,20,3,7,1,1,2,1,10,6,2,21,10,0,3,75,111,0.68,0.262,37.4,16.2,7.70,3.41,2.26,0.299,0.388,0.687
전승윤,75340,히어로즈,3.86,8,0,0,0,0,-,9 1/3,12,0,3,0,2,4,4,1.61,0,0,0,0,39,142,0.343,2,1,1,0,0,0,0,0,0,0,5,0,0,2,15,6,2.50,0.364,17.8,15.2,1.93,2.89,0.67,0.395,0.457,0.852
조용준,72351,히어로즈,4.00,11,0,1,1,0,0.000,9,11,1,5,2,6,4,4,1.78,0,0,0,1,42,153,0.324,2,0,1,0,0,1,0,0,0,0,7,2,0,2,9,8,1.13,0.370,13.9,17.0,6.00,5.00,1.20,0.439,0.471,0.910
오재영,74359,히어로즈,4.08,52,1,2,0,5,0.333,39 2/3,39,3,17,1,25,18,18,1.41,0,0,0,0,167,691,0.267,11,0,1,2,0,4,0,0,0,1,3,10,0,5,37,47,0.79,0.300,13.3,17.4,5.67,3.86,1.47,0.343,0.404,0.747
이현승,76329,히어로즈,4.18,30,13,10,0,0,0.565,170,161,25,66,5,120,84,79,1.34,0,0,16,0,716,2815,0.253,27,1,7,2,1,1,1,29,13,0,1,0,0,18,194,163,1.19,0.276,93.8,16.6,6.35,3.49,1.82,0.327,0.417,0.744
이보근,75342,히어로즈,4.26,52,7,7,7,4,0.500,88 2/3,74,9,44,6,58,50,42,1.33,0,0,0,2,376,1480,0.232,18,0,4,3,5,3,0,1,0,7,18,14,0,12,110,80,1.38,0.255,28.5,16.7,5.89,4.47,1.32,0.333,0.373,0.706
배힘찬,72321,히어로즈,4.35,21,1,1,0,2,0.500,31,24,5,9,2,12,17,15,1.06,0,0,0,0,125,454,0.214,6,1,2,0,1,5,0,0,0,1,9,1,0,5,52,24,2.17,0.200,21.6,14.6,3.48,2.61,1.33,0.285,0.420,0.705
조용훈,76357,히어로즈,4.44,25,1,0,0,1,1.000,24 1/3,24,2,11,4,24,14,12,1.44,0,0,0,1,106,434,0.264,4,0,0,0,1,0,0,0,0,1,2,1,0,5,22,21,1.05,0.338,17.4,17.8,8.88,4.07,2.18,0.368,0.374,0.742
송신영,99314,히어로즈,5.23,58,3,3,4,6,0.500,75 2/3,84,13,30,11,68,50,44,1.51,0,0,0,4,348,1399,0.278,22,1,3,2,2,3,0,0,0,3,19,16,1,4,84,68,1.24,0.318,24.1,18.5,8.09,3.57,2.27,0.362,0.487,0.849
강윤구,79358,히어로즈,5.51,45,3,2,1,2,0.600,80,64,12,70,0,79,52,49,1.68,0,0,2,0,363,1564,0.225,13,1,6,2,0,3,1,13,2,1,5,6,1,7,61,83,0.73,0.265,34.8,19.6,8.89,7.88,1.13,0.375,0.404,0.779
장원삼,76355,히어로즈,5.54,19,4,8,0,0,0.333,91,108,17,31,6,60,57,56,1.53,0,0,7,0,411,1592,0.294,16,1,4,3,0,4,0,19,4,0,0,0,0,3,79,123,0.64,0.311,83.8,17.5,5.93,3.07,1.94,0.356,0.482,0.838
김영민,76350,히어로즈,5.94,18,1,3,0,0,0.250,47,54,4,28,3,37,36,31,1.74,0,0,2,1,220,874,0.293,12,1,3,2,3,6,0,6,0,1,3,1,0,4,48,47,1.02,0.345,48.6,18.6,7.09,5.36,1.32,0.392,0.435,0.827
전준호,94364,히어로즈,6.30,23,2,1,1,0,0.667,40,48,8,20,2,24,29,28,1.70,0,0,0,1,187,722,0.296,10,0,1,2,1,0,0,1,0,2,10,1,0,3,43,49,0.88,0.303,31.4,18.1,5.40,4.50,1.20,0.376,0.506,0.882
신철인,70323,히어로즈,6.42,46,2,4,6,6,0.333,47 2/3,46,5,13,3,50,36,34,1.24,0,0,0,3,200,777,0.261,15,1,4,4,2,0,0,0,0,2,16,19,1,1,32,52,0.62,0.328,16.9,16.3,9.44,2.45,3.85,0.316,0.443,0.759
김수경,98330,히어로즈,6.67,25,6,11,0,0,0.353,117 1/3,142,29,53,5,66,93,87,1.66,0,0,6,0,539,2101,0.303,21,1,9,3,1,4,0,25,6,0,0,0,0,9,138,126,1.10,0.300,84.0,17.9,5.06,4.07,1.25,0.377,0.537,0.914
이대환,72333,히어로즈,6.75,2,0,0,0,0,-,1 1/3,2,0,2,0,1,1,1,3.00,0,0,0,0,6,30,0.667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.667,15.0,22.5,6.75,13.50,0.50,0.667,1.000,1.667
마일영,70329,히어로즈,6.93,27,5,8,0,1,0.385,97 1/3,127,17,48,3,51,76,75,1.80,0,0,5,0,451,1788,0.328,24,1,11,2,0,4,0,20,4,1,2,1,0,16,130,81,1.60,0.343,66.2,18.4,4.72,4.44,1.06,0.405,0.527,0.932
이동학,70356,히어로즈,6.99,18,1,3,0,0,0.250,28 1/3,37,2,20,3,20,23,22,2.01,0,0,0,0,140,534,0.330,10,0,5,0,1,2,1,1,0,1,3,1,0,2,32,23,1.39,0.389,29.7,18.8,6.35,6.35,1.00,0.444,0.473,0.917
김성현,78353,히어로즈,6.99,27,2,4,0,0,0.333,65 2/3,72,10,43,2,48,53,51,1.75,0,0,1,0,299,1156,0.288,12,2,2,2,0,6,0,8,1,1,5,1,0,11,82,50,1.64,0.320,42.8,17.6,6.58,5.89,1.12,0.394,0.472,0.866
이상열,96720,히어로즈,7.36,26,0,1,0,5,0.000,11,12,4,3,0,6,10,9,1.36,0,0,0,0,49,166,0.279,2,0,2,1,0,1,0,0,0,0,1,6,0,0,14,12,1.17,0.235,6.4,15.1,4.91,2.45,2.00,0.319,0.605,0.924
이정호,71433,히어로즈,13.50,3,0,0,0,0,-,2 2/3,3,0,5,0,3,4,4,3.00,0,0,0,0,16,72,0.273,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,1.50,0.375,24.0,27.0,10.13,16.88,0.60,0.500,0.364,0.864
