선수명,연도,소속팀명,연봉,WAR,상세url
양현종,2020,KIA,"230,000",2.529,http://www.statiz.co.kr/player.php?name=양현종
최형우,2020,KIA,"150,000",5.666,http://www.statiz.co.kr/player.php?name=최형우
가뇽,2020,KIA,"65,000",2.848,http://www.statiz.co.kr/player.php?name=가뇽
나지완,2020,KIA,"60,000",2.212,http://www.statiz.co.kr/player.php?name=나지완
터커,2020,KIA,"55,000",4.330,http://www.statiz.co.kr/player.php?name=터커
브룩스,2020,KIA,"47,900",7.170,http://www.statiz.co.kr/player.php?name=브룩스
김선빈,2020,KIA,"45,000",2.635,http://www.statiz.co.kr/player.php?name=김선빈
김주찬,2020,KIA,"40,000",-0.018,http://www.statiz.co.kr/player.php?name=김주찬
김윤동,2020,KIA,"13,000",,http://www.statiz.co.kr/player.php?name=김윤동
나주환,2020,KIA,"12,000",0.326,http://www.statiz.co.kr/player.php?name=나주환
문경찬,2020,KIA,"11,500",,http://www.statiz.co.kr/player.php?name=문경찬
박준표,2020,KIA,"11,000",2.636,http://www.statiz.co.kr/player.php?name=박준표
박찬호,2020,KIA,"10,500",-0.717,http://www.statiz.co.kr/player.php?name=박찬호
김민식,2020,KIA,"8,800",0.304,http://www.statiz.co.kr/player.php?name=김민식
임기준,2020,KIA,"8,700",,http://www.statiz.co.kr/player.php?name=임기준
이창진,2020,KIA,"8,500",0.427,http://www.statiz.co.kr/player.php?name=이창진
김호령,2020,KIA,"8,500",0.018,http://www.statiz.co.kr/player.php?name=김호령
한승택,2020,KIA,"8,000",0.413,http://www.statiz.co.kr/player.php?name=한승택
전상현,2020,KIA,"7,600",1.601,http://www.statiz.co.kr/player.php?name=전상현
장영석,2020,KIA,"7,500",-0.551,http://www.statiz.co.kr/player.php?name=장영석
임기영,2020,KIA,"7,000",1.356,http://www.statiz.co.kr/player.php?name=임기영
최원준,2020,KIA,"7,000",1.442,http://www.statiz.co.kr/player.php?name=최원준
하준영,2020,KIA,"6,500",,http://www.statiz.co.kr/player.php?name=하준영
박진태,2020,KIA,"6,000",-0.503,http://www.statiz.co.kr/player.php?name=박진태
유민상,2020,KIA,"6,000",0.135,http://www.statiz.co.kr/player.php?name=유민상
고영창,2020,KIA,"5,800",0.113,http://www.statiz.co.kr/player.php?name=고영창
홍건희,2020,KIA,"5,300",,http://www.statiz.co.kr/player.php?name=홍건희
고장혁,2020,KIA,"5,000",-0.106,http://www.statiz.co.kr/player.php?name=고장혁
변시원,2020,KIA,"5,000",0.004,http://www.statiz.co.kr/player.php?name=변시원
황윤호,2020,KIA,"5,000",0.037,http://www.statiz.co.kr/player.php?name=황윤호
유재신,2020,KIA,"4,700",,http://www.statiz.co.kr/player.php?name=유재신
문선재,2020,KIA,"4,500",-0.183,http://www.statiz.co.kr/player.php?name=문선재
이민우,2020,KIA,"4,300",-0.747,http://www.statiz.co.kr/player.php?name=이민우
이준영,2020,KIA,"4,000",0.391,http://www.statiz.co.kr/player.php?name=이준영
이우성,2020,KIA,"4,000",-0.385,http://www.statiz.co.kr/player.php?name=이우성
