선수명,연도,소속팀명,연봉,WAR,상세url
한나한,2015,LG,"900,000",0.616,http://www.statiz.co.kr/player.php?name=한나한
루카스,2015,LG,"900,000",2.341,http://www.statiz.co.kr/player.php?name=루카스
정다흰,2015,LG,"900,000",,http://www.statiz.co.kr/player.php?name=정다흰
박용택,2015,LG,"80,000",2.235,http://www.statiz.co.kr/player.php?name=박용택
이병규,2015,LG,"80,000",-0.434,http://www.statiz.co.kr/player.php?name=이병규
이동현,2015,LG,"60,000",1.037,http://www.statiz.co.kr/player.php?name=이동현
소사,2015,LG,"50,000",4.232,http://www.statiz.co.kr/player.php?name=소사
히메네스,2015,LG,"50,000",2.365,http://www.statiz.co.kr/player.php?name=히메네스
정상호,2015,LG,"50,000",,http://www.statiz.co.kr/player.php?name=정상호
정성훈,2015,LG,"50,000",1.470,http://www.statiz.co.kr/player.php?name=정성훈
우규민,2015,LG,"40,000",4.948,http://www.statiz.co.kr/player.php?name=우규민
정현욱,2015,LG,"40,000",,http://www.statiz.co.kr/player.php?name=정현욱
봉중근,2015,LG,"30,000",0.921,http://www.statiz.co.kr/player.php?name=봉중근
이병규,2015,LG,"26,000",-0.434,http://www.statiz.co.kr/player.php?name=이병규
오지환,2015,LG,"25,000",6.573,http://www.statiz.co.kr/player.php?name=오지환
류제국,2015,LG,"18,000",2.366,http://www.statiz.co.kr/player.php?name=류제국
임훈,2015,LG,"13,000",,http://www.statiz.co.kr/player.php?name=임훈
윤지웅,2015,LG,"12,500",1.784,http://www.statiz.co.kr/player.php?name=윤지웅
임정우,2015,LG,"12,500",1.458,http://www.statiz.co.kr/player.php?name=임정우
손주인,2015,LG,"12,000",-0.935,http://www.statiz.co.kr/player.php?name=손주인
진해수,2015,LG,"9,500",,http://www.statiz.co.kr/player.php?name=진해수
최경철,2015,LG,"9,000",-0.078,http://www.statiz.co.kr/player.php?name=최경철
유강남,2015,LG,"8,100",0.814,http://www.statiz.co.kr/player.php?name=유강남
유원상,2015,LG,"7,500",0.165,http://www.statiz.co.kr/player.php?name=유원상
양석환,2015,LG,"7,000",-1.317,http://www.statiz.co.kr/player.php?name=양석환
문선재,2015,LG,"6,500",-0.995,http://www.statiz.co.kr/player.php?name=문선재
신승현,2015,LG,"6,000",0.601,http://www.statiz.co.kr/player.php?name=신승현
서상우,2015,LG,"6,000",0.906,http://www.statiz.co.kr/player.php?name=서상우
김용의,2015,LG,"6,000",-0.367,http://www.statiz.co.kr/player.php?name=김용의
채은성,2015,LG,"5,500",0.124,http://www.statiz.co.kr/player.php?name=채은성
정찬헌,2015,LG,"5,100",0.547,http://www.statiz.co.kr/player.php?name=정찬헌
장진용,2015,LG,"5,000",-0.115,http://www.statiz.co.kr/player.php?name=장진용
여건욱,2015,LG,"5,000",,http://www.statiz.co.kr/player.php?name=여건욱
김광삼,2015,LG,"5,000",-0.066,http://www.statiz.co.kr/player.php?name=김광삼
안익훈,2015,LG,"4,100",0.642,http://www.statiz.co.kr/player.php?name=안익훈
황목치승,2015,LG,"4,000",-0.420,http://www.statiz.co.kr/player.php?name=황목치승
김지용,2015,LG,"4,000",0.709,http://www.statiz.co.kr/player.php?name=김지용
백창수,2015,LG,"4,000",0.092,http://www.statiz.co.kr/player.php?name=백창수
김지성,2015,LG,"3,800",-0.712,http://www.statiz.co.kr/player.php?name=김지성
이승현,2015,LG,"3,700",0.115,http://www.statiz.co.kr/player.php?name=이승현
임지섭,2015,LG,"3,500",0.106,http://www.statiz.co.kr/player.php?name=임지섭
최동환,2015,LG,"3,500",-0.125,http://www.statiz.co.kr/player.php?name=최동환
이민재,2015,LG,"3,400",-0.420,http://www.statiz.co.kr/player.php?name=이민재
윤진호,2015,LG,"3,300",-0.080,http://www.statiz.co.kr/player.php?name=윤진호
강병의,2015,LG,"3,000",-0.163,http://www.statiz.co.kr/player.php?name=강병의
박성준,2015,LG,"3,000",-0.048,http://www.statiz.co.kr/player.php?name=박성준
장준원,2015,LG,"3,000",-0.437,http://www.statiz.co.kr/player.php?name=장준원
조윤준,2015,LG,"3,000",-0.204,http://www.statiz.co.kr/player.php?name=조윤준
한희,2015,LG,"3,000",,http://www.statiz.co.kr/player.php?name=한희
김재율,2015,LG,"2,900",-0.140,http://www.statiz.co.kr/player.php?name=김재율
이창호,2015,LG,"2,700",,http://www.statiz.co.kr/player.php?name=이창호
김창혁,2015,LG,"2,700",,http://www.statiz.co.kr/player.php?name=김창혁
정규식,2015,LG,"2,700",,http://www.statiz.co.kr/player.php?name=정규식
최민창,2015,LG,"2,700",,http://www.statiz.co.kr/player.php?name=최민창
윤여운,2015,LG,"2,700",,http://www.statiz.co.kr/player.php?name=윤여운
유경국,2015,LG,"2,700",,http://www.statiz.co.kr/player.php?name=유경국
전인환,2015,LG,"2,700",,http://www.statiz.co.kr/player.php?name=전인환
이준형,2015,LG,"2,700",,http://www.statiz.co.kr/player.php?name=이준형
박지규,2015,LG,"2,700",-0.742,http://www.statiz.co.kr/player.php?name=박지규
양원혁,2015,LG,"2,700",-0.062,http://www.statiz.co.kr/player.php?name=양원혁
김재성,2015,LG,"2,700",-0.053,http://www.statiz.co.kr/player.php?name=김재성
