선수명,연도,소속팀명,연봉,WAR,상세url
차화준,2016,NC,"900,000",,http://www.statiz.co.kr/player.php?name=차화준
임서준,2016,NC,"900,000",0.031,http://www.statiz.co.kr/player.php?name=임서준
김준현,2016,NC,"900,000",,http://www.statiz.co.kr/player.php?name=김준현
김학성,2016,NC,"900,000",-0.257,http://www.statiz.co.kr/player.php?name=김학성
용덕한,2016,NC,"900,000",-0.118,http://www.statiz.co.kr/player.php?name=용덕한
테임즈,2016,NC,"900,000",5.677,http://www.statiz.co.kr/player.php?name=테임즈
정성민,2016,NC,"900,000",,http://www.statiz.co.kr/player.php?name=정성민
류진욱,2016,NC,"900,000",,http://www.statiz.co.kr/player.php?name=류진욱
이창섭,2016,NC,"900,000",,http://www.statiz.co.kr/player.php?name=이창섭
스튜어트,2016,NC,"900,000",3.294,http://www.statiz.co.kr/player.php?name=스튜어트
최재혁,2016,NC,"900,000",,http://www.statiz.co.kr/player.php?name=최재혁
박석민,2016,NC,"75,000",3.854,http://www.statiz.co.kr/player.php?name=박석민
이호준,2016,NC,"75,000",1.709,http://www.statiz.co.kr/player.php?name=이호준
해커,2016,NC,"60,000",4.885,http://www.statiz.co.kr/player.php?name=해커
이종욱,2016,NC,"50,000",2.272,http://www.statiz.co.kr/player.php?name=이종욱
손시헌,2016,NC,"40,000",3.551,http://www.statiz.co.kr/player.php?name=손시헌
나성범,2016,NC,"30,000",4.857,http://www.statiz.co.kr/player.php?name=나성범
김태군,2016,NC,"21,000",-0.404,http://www.statiz.co.kr/player.php?name=김태군
이재학,2016,NC,"20,000",2.228,http://www.statiz.co.kr/player.php?name=이재학
박민우,2016,NC,"19,000",4.013,http://www.statiz.co.kr/player.php?name=박민우
김종호,2016,NC,"17,500",0.403,http://www.statiz.co.kr/player.php?name=김종호
임창민,2016,NC,"17,400",3.255,http://www.statiz.co.kr/player.php?name=임창민
김진성,2016,NC,"15,000",1.520,http://www.statiz.co.kr/player.php?name=김진성
지석훈,2016,NC,"14,000",-0.942,http://www.statiz.co.kr/player.php?name=지석훈
이민호,2016,NC,"13,500",1.028,http://www.statiz.co.kr/player.php?name=이민호
모창민,2016,NC,"12,500",1.074,http://www.statiz.co.kr/player.php?name=모창민
조영훈,2016,NC,"11,000",1.339,http://www.statiz.co.kr/player.php?name=조영훈
최금강,2016,NC,"9,200",1.341,http://www.statiz.co.kr/player.php?name=최금강
이훈,2016,NC,"8,000",,http://www.statiz.co.kr/player.php?name=이훈
원종현,2016,NC,"8,000",2.311,http://www.statiz.co.kr/player.php?name=원종현
임정호,2016,NC,"7,700",-0.027,http://www.statiz.co.kr/player.php?name=임정호
김선규,2016,NC,"6,000",0.329,http://www.statiz.co.kr/player.php?name=김선규
손정욱,2016,NC,"5,600",,http://www.statiz.co.kr/player.php?name=손정욱
노성호,2016,NC,"5,500",,http://www.statiz.co.kr/player.php?name=노성호
김성욱,2016,NC,"5,500",1.378,http://www.statiz.co.kr/player.php?name=김성욱
권희동,2016,NC,"5,100",0.050,http://www.statiz.co.kr/player.php?name=권희동
고창성,2016,NC,"5,000",,http://www.statiz.co.kr/player.php?name=고창성
노진혁,2016,NC,"4,300",,http://www.statiz.co.kr/player.php?name=노진혁
이상호,2016,NC,"4,000",0.150,http://www.statiz.co.kr/player.php?name=이상호
조평호,2016,NC,"3,500",-0.061,http://www.statiz.co.kr/player.php?name=조평호
민성기,2016,NC,"3,300",,http://www.statiz.co.kr/player.php?name=민성기
박진우,2016,NC,"3,200",,http://www.statiz.co.kr/player.php?name=박진우
강장산,2016,NC,"3,000",-0.080,http://www.statiz.co.kr/player.php?name=강장산
박광열,2016,NC,"3,000",0.072,http://www.statiz.co.kr/player.php?name=박광열
김준완,2016,NC,"3,000",1.196,http://www.statiz.co.kr/player.php?name=김준완
김태진,2016,NC,"3,000",0.032,http://www.statiz.co.kr/player.php?name=김태진
윤병호,2016,NC,"2,900",-0.049,http://www.statiz.co.kr/player.php?name=윤병호
심규범,2016,NC,"2,900",,http://www.statiz.co.kr/player.php?name=심규범
이우석,2016,NC,"2,700",,http://www.statiz.co.kr/player.php?name=이우석
황윤호,2016,NC,"2,700",-0.141,http://www.statiz.co.kr/player.php?name=황윤호
박민석,2016,NC,"2,700",1.009,http://www.statiz.co.kr/player.php?name=박민석
이재율,2016,NC,"2,700",-0.122,http://www.statiz.co.kr/player.php?name=이재율
박세웅,2016,NC,"2,700",0.008,http://www.statiz.co.kr/player.php?name=박세웅
도태훈,2016,NC,"2,700",-0.088,http://www.statiz.co.kr/player.php?name=도태훈
문석종,2016,NC,"2,700",,http://www.statiz.co.kr/player.php?name=문석종
구창모,2016,NC,"2,700",1.537,http://www.statiz.co.kr/player.php?name=구창모
윤수호,2016,NC,"2,700",,http://www.statiz.co.kr/player.php?name=윤수호
이형범,2016,NC,"2,700",,http://www.statiz.co.kr/player.php?name=이형범
강구성,2016,NC,"2,700",-0.070,http://www.statiz.co.kr/player.php?name=강구성
장현식,2016,NC,"2,700",1.844,http://www.statiz.co.kr/player.php?name=장현식
최상인,2016,NC,"2,700",,http://www.statiz.co.kr/player.php?name=최상인
조원빈,2016,NC,"2,700",,http://www.statiz.co.kr/player.php?name=조원빈
강민국,2016,NC,"2,700",-0.387,http://www.statiz.co.kr/player.php?name=강민국
김찬형,2016,NC,"2,700",,http://www.statiz.co.kr/player.php?name=김찬형
최성영,2016,NC,"2,700",0.145,http://www.statiz.co.kr/player.php?name=최성영
정수민,2016,NC,"2,700",0.194,http://www.statiz.co.kr/player.php?name=정수민
박준영,2016,NC,"2,700",-0.401,http://www.statiz.co.kr/player.php?name=박준영
배재환,2016,NC,"2,700",0.294,http://www.statiz.co.kr/player.php?name=배재환
