선수명,연도,소속팀명,연봉,WAR,상세url
신윤호,2014,SK,"900,000",-0.061,http://www.statiz.co.kr/player.php?name=신윤호
안치용,2014,SK,"900,000",,http://www.statiz.co.kr/player.php?name=안치용
레이예스,2014,SK,"900,000",0.390,http://www.statiz.co.kr/player.php?name=레이예스
제춘모,2014,SK,"900,000",-0.022,http://www.statiz.co.kr/player.php?name=제춘모
스캇,2014,SK,"900,000",0.635,http://www.statiz.co.kr/player.php?name=스캇
울프,2014,SK,"900,000",1.529,http://www.statiz.co.kr/player.php?name=울프
김정훈,2014,SK,"900,000",0.001,http://www.statiz.co.kr/player.php?name=김정훈
최정,2014,SK,"70,000",3.386,http://www.statiz.co.kr/player.php?name=최정
김강민,2014,SK,"30,000",4.665,http://www.statiz.co.kr/player.php?name=김강민
김광현,2014,SK,"27,000",5.200,http://www.statiz.co.kr/player.php?name=김광현
박정권,2014,SK,"23,500",3.402,http://www.statiz.co.kr/player.php?name=박정권
임경완,2014,SK,"20,000",-0.066,http://www.statiz.co.kr/player.php?name=임경완
박진만,2014,SK,"20,000",0.027,http://www.statiz.co.kr/player.php?name=박진만
나주환,2014,SK,"20,000",0.835,http://www.statiz.co.kr/player.php?name=나주환
박희수,2014,SK,"19,000",1.421,http://www.statiz.co.kr/player.php?name=박희수
박재상,2014,SK,"16,000",-0.098,http://www.statiz.co.kr/player.php?name=박재상
윤희상,2014,SK,"16,000",0.656,http://www.statiz.co.kr/player.php?name=윤희상
김상현,2014,SK,"16,000",0.181,http://www.statiz.co.kr/player.php?name=김상현
정상호,2014,SK,"15,500",0.837,http://www.statiz.co.kr/player.php?name=정상호
밴와트,2014,SK,"15,000",1.998,http://www.statiz.co.kr/player.php?name=밴와트
윤길현,2014,SK,"14,500",1.782,http://www.statiz.co.kr/player.php?name=윤길현
채병용,2014,SK,"13,500",0.926,http://www.statiz.co.kr/player.php?name=채병용
조동화,2014,SK,"12,000",0.168,http://www.statiz.co.kr/player.php?name=조동화
이재영,2014,SK,"12,000",0.349,http://www.statiz.co.kr/player.php?name=이재영
고효준,2014,SK,"11,000",-0.821,http://www.statiz.co.kr/player.php?name=고효준
박정배,2014,SK,"8,000",0.791,http://www.statiz.co.kr/player.php?name=박정배
전병두,2014,SK,"8,000",,http://www.statiz.co.kr/player.php?name=전병두
진해수,2014,SK,"7,500",0.212,http://www.statiz.co.kr/player.php?name=진해수
이재원,2014,SK,"7,500",3.945,http://www.statiz.co.kr/player.php?name=이재원
임훈,2014,SK,"7,500",1.727,http://www.statiz.co.kr/player.php?name=임훈
김성현,2014,SK,"7,000",2.681,http://www.statiz.co.kr/player.php?name=김성현
엄정욱,2014,SK,"7,000",-0.063,http://www.statiz.co.kr/player.php?name=엄정욱
이승호,2014,SK,"7,000",,http://www.statiz.co.kr/player.php?name=이승호
한유섬,2014,SK,"6,500",0.391,http://www.statiz.co.kr/player.php?name=한유섬
백인식,2014,SK,"6,000",-0.527,http://www.statiz.co.kr/player.php?name=백인식
김연훈,2014,SK,"6,000",,http://www.statiz.co.kr/player.php?name=김연훈
전유수,2014,SK,"5,000",1.435,http://www.statiz.co.kr/player.php?name=전유수
김재현,2014,SK,"4,000",0.024,http://www.statiz.co.kr/player.php?name=김재현
이명기,2014,SK,"4,000",1.988,http://www.statiz.co.kr/player.php?name=이명기
이한진,2014,SK,"3,500",-0.236,http://www.statiz.co.kr/player.php?name=이한진
박윤,2014,SK,"3,500",-0.057,http://www.statiz.co.kr/player.php?name=박윤
조성우,2014,SK,"3,500",-0.051,http://www.statiz.co.kr/player.php?name=조성우
임치영,2014,SK,"3,000",,http://www.statiz.co.kr/player.php?name=임치영
허웅,2014,SK,"3,000",0.032,http://www.statiz.co.kr/player.php?name=허웅
여건욱,2014,SK,"3,000",0.399,http://www.statiz.co.kr/player.php?name=여건욱
박계현,2014,SK,"2,900",0.703,http://www.statiz.co.kr/player.php?name=박계현
정진기,2014,SK,"2,900",,http://www.statiz.co.kr/player.php?name=정진기
문승원,2014,SK,"2,900",,http://www.statiz.co.kr/player.php?name=문승원
김도현,2014,SK,"2,800",-0.191,http://www.statiz.co.kr/player.php?name=김도현
이정담,2014,SK,"2,700",,http://www.statiz.co.kr/player.php?name=이정담
이건욱,2014,SK,"2,700",,http://www.statiz.co.kr/player.php?name=이건욱
원용묵,2014,SK,"2,700",,http://www.statiz.co.kr/player.php?name=원용묵
박승욱,2014,SK,"2,700",,http://www.statiz.co.kr/player.php?name=박승욱
신현철,2014,SK,"2,600",-0.200,http://www.statiz.co.kr/player.php?name=신현철
안정광,2014,SK,"2,600",-0.062,http://www.statiz.co.kr/player.php?name=안정광
홍명찬,2014,SK,"2,600",-0.281,http://www.statiz.co.kr/player.php?name=홍명찬
박민호,2014,SK,"2,400",0.052,http://www.statiz.co.kr/player.php?name=박민호
유영하,2014,SK,"2,400",,http://www.statiz.co.kr/player.php?name=유영하
박상현,2014,SK,"2,400",,http://www.statiz.co.kr/player.php?name=박상현
이창욱,2014,SK,"2,400",-0.048,http://www.statiz.co.kr/player.php?name=이창욱
