선수명,연도,소속팀명,연봉,WAR,상세url
황재균,2020,kt,"120,000",5.021,http://www.statiz.co.kr/player.php?name=황재균
로하스,2020,kt,"80,000",7.848,http://www.statiz.co.kr/player.php?name=로하스
쿠에바스,2020,kt,"60,000",2.594,http://www.statiz.co.kr/player.php?name=쿠에바스
유한준,2020,kt,"50,000",0.509,http://www.statiz.co.kr/player.php?name=유한준
데스파이네,2020,kt,"45,000",3.146,http://www.statiz.co.kr/player.php?name=데스파이네
박경수,2020,kt,"40,000",3.000,http://www.statiz.co.kr/player.php?name=박경수
강백호,2020,kt,"21,000",4.957,http://www.statiz.co.kr/player.php?name=강백호
이보근,2020,kt,"20,000",1.458,http://www.statiz.co.kr/player.php?name=이보근
금민철,2020,kt,"15,000",-0.119,http://www.statiz.co.kr/player.php?name=금민철
주권,2020,kt,"15,000",2.673,http://www.statiz.co.kr/player.php?name=주권
장성우,2020,kt,"13,500",2.137,http://www.statiz.co.kr/player.php?name=장성우
심우준,2020,kt,"13,000",0.226,http://www.statiz.co.kr/player.php?name=심우준
김재윤,2020,kt,"12,000",2.185,http://www.statiz.co.kr/player.php?name=김재윤
배제성,2020,kt,"11,000",2.346,http://www.statiz.co.kr/player.php?name=배제성
전유수,2020,kt,"10,000",0.530,http://www.statiz.co.kr/player.php?name=전유수
이대은,2020,kt,"10,000",-0.261,http://www.statiz.co.kr/player.php?name=이대은
오태곤,2020,kt,"9,500",,http://www.statiz.co.kr/player.php?name=오태곤
김민혁,2020,kt,"9,000",-0.050,http://www.statiz.co.kr/player.php?name=김민혁
박승욱,2020,kt,"8,000",-0.069,http://www.statiz.co.kr/player.php?name=박승욱
정성곤,2020,kt,"7,500",,http://www.statiz.co.kr/player.php?name=정성곤
김민,2020,kt,"7,500",-0.444,http://www.statiz.co.kr/player.php?name=김민
김성훈,2020,kt,"7,000",0.053,http://www.statiz.co.kr/player.php?name=김성훈
조용호,2020,kt,"7,000",1.847,http://www.statiz.co.kr/player.php?name=조용호
허도환,2020,kt,"6,500",0.112,http://www.statiz.co.kr/player.php?name=허도환
김민수,2020,kt,"6,500",-0.874,http://www.statiz.co.kr/player.php?name=김민수
배정대,2020,kt,"4,800",4.086,http://www.statiz.co.kr/player.php?name=배정대
송민섭,2020,kt,"4,700",0.296,http://www.statiz.co.kr/player.php?name=송민섭
손동현,2020,kt,"4,500",0.061,http://www.statiz.co.kr/player.php?name=손동현
하준호,2020,kt,"4,500",-0.081,http://www.statiz.co.kr/player.php?name=하준호
이창재,2020,kt,"4,200",-0.014,http://www.statiz.co.kr/player.php?name=이창재
강민국,2020,kt,"4,000",-0.791,http://www.statiz.co.kr/player.php?name=강민국
문상철,2020,kt,"4,000",0.615,http://www.statiz.co.kr/player.php?name=문상철
유원상,2020,kt,"4,000",1.070,http://www.statiz.co.kr/player.php?name=유원상
이상화,2020,kt,"4,000",0.092,http://www.statiz.co.kr/player.php?name=이상화
이준수,2020,kt,"3,800",,http://www.statiz.co.kr/player.php?name=이준수
안승한,2020,kt,"3,700",,http://www.statiz.co.kr/player.php?name=안승한
류희운,2020,kt,"3,500",-0.169,http://www.statiz.co.kr/player.php?name=류희운
이종혁,2020,kt,"3,400",,http://www.statiz.co.kr/player.php?name=이종혁
이정현,2020,kt,"3,300",,http://www.statiz.co.kr/player.php?name=이정현
조근종,2020,kt,"3,300",,http://www.statiz.co.kr/player.php?name=조근종
박세진,2020,kt,"3,300",-0.153,http://www.statiz.co.kr/player.php?name=박세진
김영환,2020,kt,"3,300",,http://www.statiz.co.kr/player.php?name=김영환
안현준,2020,kt,"3,200",-0.144,http://www.statiz.co.kr/player.php?name=안현준
김병희,2020,kt,"3,000",-0.061,http://www.statiz.co.kr/player.php?name=김병희
조현우,2020,kt,"3,000",1.805,http://www.statiz.co.kr/player.php?name=조현우
박준혁,2020,kt,"2,900",-0.068,http://www.statiz.co.kr/player.php?name=박준혁
이선우,2020,kt,"2,900",-0.070,http://www.statiz.co.kr/player.php?name=이선우
임지한,2020,kt,"2,900",,http://www.statiz.co.kr/player.php?name=임지한
이재근,2020,kt,"2,900",,http://www.statiz.co.kr/player.php?name=이재근
김태훈,2020,kt,"2,900",-0.080,http://www.statiz.co.kr/player.php?name=김태훈
이상동,2020,kt,"2,900",-0.064,http://www.statiz.co.kr/player.php?name=이상동
박민석,2020,kt,"2,900",,http://www.statiz.co.kr/player.php?name=박민석
김민섭,2020,kt,"2,900",,http://www.statiz.co.kr/player.php?name=김민섭
전용주,2020,kt,"2,800",,http://www.statiz.co.kr/player.php?name=전용주
조한욱,2020,kt,"2,800",,http://www.statiz.co.kr/player.php?name=조한욱
신용승,2020,kt,"2,800",,http://www.statiz.co.kr/player.php?name=신용승
문상인,2020,kt,"2,800",-0.045,http://www.statiz.co.kr/player.php?name=문상인
서경찬,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=서경찬
여도건,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=여도건
고영찬,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=고영찬
문상준,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=문상준
이구름,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=이구름
김성균,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=김성균
조병욱,2020,kt,"2,700",-0.273,http://www.statiz.co.kr/player.php?name=조병욱
최지효,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=최지효
박성현,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=박성현
윤종휘,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=윤종휘
최태성,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=최태성
김경민,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=김경민
이승주,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=이승주
천성호,2020,kt,"2,700",-0.366,http://www.statiz.co.kr/player.php?name=천성호
윤준혁,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=윤준혁
한지용,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=한지용
한대겸,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=한대겸
이범정,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=이범정
윤강찬,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=윤강찬
이정훈,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=이정훈
장현우,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=장현우
한승지,2020,kt,"2,700",0.000,http://www.statiz.co.kr/player.php?name=한승지
박규민,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=박규민
고성민,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=고성민
지강혁,2020,kt,"2,700",,http://www.statiz.co.kr/player.php?name=지강혁
소형준,2020,kt,"2,700",2.326,http://www.statiz.co.kr/player.php?name=소형준
이강준,2020,kt,"2,700",0.027,http://www.statiz.co.kr/player.php?name=이강준
강현우,2020,kt,"2,700",-0.035,http://www.statiz.co.kr/player.php?name=강현우
