선수명,연도,소속팀명,연봉,WAR,상세url
박병호,2020,넥센,"200,000",,http://www.statiz.co.kr/player.php?name=박병호
브리검,2020,넥센,"80,000",,http://www.statiz.co.kr/player.php?name=브리검
김하성,2020,넥센,"55,000",,http://www.statiz.co.kr/player.php?name=김하성
요키시,2020,넥센,"55,000",,http://www.statiz.co.kr/player.php?name=요키시
러셀,2020,넥센,"54,000",,http://www.statiz.co.kr/player.php?name=러셀
이정후,2020,넥센,"39,000",,http://www.statiz.co.kr/player.php?name=이정후
최원태,2020,넥센,"37,000",,http://www.statiz.co.kr/player.php?name=최원태
서건창,2020,넥센,"35,000",,http://www.statiz.co.kr/player.php?name=서건창
김상수,2020,넥센,"30,000",,http://www.statiz.co.kr/player.php?name=김상수
이지영,2020,넥센,"30,000",,http://www.statiz.co.kr/player.php?name=이지영
한현희,2020,넥센,"29,000",,http://www.statiz.co.kr/player.php?name=한현희
박동원,2020,넥센,"22,500",,http://www.statiz.co.kr/player.php?name=박동원
오주원,2020,넥센,"20,000",,http://www.statiz.co.kr/player.php?name=오주원
모터,2020,넥센,"20,000",,http://www.statiz.co.kr/player.php?name=모터
조상우,2020,넥센,"20,000",,http://www.statiz.co.kr/player.php?name=조상우
김혜성,2020,넥센,"10,000",,http://www.statiz.co.kr/player.php?name=김혜성
윤영삼,2020,넥센,"9,800",,http://www.statiz.co.kr/player.php?name=윤영삼
김성민,2020,넥센,"9,700",,http://www.statiz.co.kr/player.php?name=김성민
양현,2020,넥센,"9,000",,http://www.statiz.co.kr/player.php?name=양현
임병욱,2020,넥센,"8,800",,http://www.statiz.co.kr/player.php?name=임병욱
이승호,2020,넥센,"8,500",,http://www.statiz.co.kr/player.php?name=이승호
김태훈,2020,넥센,"8,000",,http://www.statiz.co.kr/player.php?name=김태훈
신재영,2020,넥센,"7,000",,http://www.statiz.co.kr/player.php?name=신재영
이영준,2020,넥센,"5,500",,http://www.statiz.co.kr/player.php?name=이영준
김규민,2020,넥센,"5,400",,http://www.statiz.co.kr/player.php?name=김규민
이택근,2020,넥센,"5,000",,http://www.statiz.co.kr/player.php?name=이택근
안우진,2020,넥센,"4,800",,http://www.statiz.co.kr/player.php?name=안우진
박준태,2020,넥센,"4,500",,http://www.statiz.co.kr/player.php?name=박준태
정대현,2020,넥센,"4,500",,http://www.statiz.co.kr/player.php?name=정대현
박정음,2020,넥센,"4,300",,http://www.statiz.co.kr/player.php?name=박정음
문성현,2020,넥센,"4,200",,http://www.statiz.co.kr/player.php?name=문성현
김선기,2020,넥센,"4,200",,http://www.statiz.co.kr/player.php?name=김선기
주효상,2020,넥센,"4,000",,http://www.statiz.co.kr/player.php?name=주효상
박주현,2020,넥센,"4,000",,http://www.statiz.co.kr/player.php?name=박주현
김웅빈,2020,넥센,"3,700",,http://www.statiz.co.kr/player.php?name=김웅빈
김정후,2020,넥센,"3,500",,http://www.statiz.co.kr/player.php?name=김정후
허정협,2020,넥센,"3,500",,http://www.statiz.co.kr/player.php?name=허정협
조성운,2020,넥센,"3,000",,http://www.statiz.co.kr/player.php?name=조성운
전병우,2020,넥센,"2,900",,http://www.statiz.co.kr/player.php?name=전병우
김은성,2020,넥센,"2,900",,http://www.statiz.co.kr/player.php?name=김은성
차재용,2020,넥센,"2,900",,http://www.statiz.co.kr/player.php?name=차재용
임규빈,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=임규빈
문찬종,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=문찬종
박주홍,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=박주홍
이찬석,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=이찬석
신효승,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=신효승
이재승,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=이재승
정동욱,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=정동욱
김준연,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=김준연
정현민,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=정현민
김병휘,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=김병휘
이종민,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=이종민
양기현,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=양기현
임지열,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=임지열
김수환,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=김수환
송우현,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=송우현
김재웅,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=김재웅
박주성,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=박주성
윤정현,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=윤정현
김주형,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=김주형
김신회,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=김신회
조영건,2020,넥센,"2,700",,http://www.statiz.co.kr/player.php?name=조영건
