선수명,연도,소속팀명,연봉,WAR,상세url
최대성,2019,두산,"900,000",0.000,http://www.statiz.co.kr/player.php?name=최대성
최지원,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=최지원
이민혁,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=이민혁
이교훈,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=이교훈
전민재,2019,두산,"900,000",0.021,http://www.statiz.co.kr/player.php?name=전민재
후랭코프,2019,두산,"900,000",2.594,http://www.statiz.co.kr/player.php?name=후랭코프
김민혁,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=김민혁
박유연,2019,두산,"900,000",-0.007,http://www.statiz.co.kr/player.php?name=박유연
황경태,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=황경태
유재유,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=유재유
린드블럼,2019,두산,"900,000",6.858,http://www.statiz.co.kr/player.php?name=린드블럼
윤수호,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=윤수호
김도현,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=김도현
정병곤,2019,두산,"900,000",0.042,http://www.statiz.co.kr/player.php?name=정병곤
배영수,2019,두산,"900,000",0.207,http://www.statiz.co.kr/player.php?name=배영수
허준혁,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=허준혁
윤산흠,2019,두산,"900,000",,http://www.statiz.co.kr/player.php?name=윤산흠
