선수명,연도,소속팀명,연봉,WAR,상세url
히메네스,2014,롯데,"900,000",1.784,http://www.statiz.co.kr/player.php?name=히메네스
이승화,2014,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=이승화
정보명,2014,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=정보명
조성환,2014,롯데,"900,000",-0.130,http://www.statiz.co.kr/player.php?name=조성환
강민호,2014,롯데,"100,000",1.684,http://www.statiz.co.kr/player.php?name=강민호
정대현,2014,롯데,"50,000",1.423,http://www.statiz.co.kr/player.php?name=정대현
손아섭,2014,롯데,"40,000",6.852,http://www.statiz.co.kr/player.php?name=손아섭
최준석,2014,롯데,"40,000",2.434,http://www.statiz.co.kr/player.php?name=최준석
유먼,2014,롯데,"36,000",1.948,http://www.statiz.co.kr/player.php?name=유먼
송승준,2014,롯데,"36,000",1.625,http://www.statiz.co.kr/player.php?name=송승준
장원준,2014,롯데,"32,000",3.558,http://www.statiz.co.kr/player.php?name=장원준
강영식,2014,롯데,"30,000",1.327,http://www.statiz.co.kr/player.php?name=강영식
옥스프링,2014,롯데,"25,000",4.778,http://www.statiz.co.kr/player.php?name=옥스프링
김성배,2014,롯데,"19,000",0.842,http://www.statiz.co.kr/player.php?name=김성배
황재균,2014,롯데,"19,000",3.943,http://www.statiz.co.kr/player.php?name=황재균
전준우,2014,롯데,"16,000",1.728,http://www.statiz.co.kr/player.php?name=전준우
김사율,2014,롯데,"15,000",1.078,http://www.statiz.co.kr/player.php?name=김사율
장성호,2014,롯데,"14,000",0.021,http://www.statiz.co.kr/player.php?name=장성호
이명우,2014,롯데,"13,000",0.635,http://www.statiz.co.kr/player.php?name=이명우
박종윤,2014,롯데,"12,000",1.190,http://www.statiz.co.kr/player.php?name=박종윤
김승회,2014,롯데,"12,000",2.636,http://www.statiz.co.kr/player.php?name=김승회
정훈,2014,롯데,"8,000",3.466,http://www.statiz.co.kr/player.php?name=정훈
최대성,2014,롯데,"7,500",1.163,http://www.statiz.co.kr/player.php?name=최대성
이용훈,2014,롯데,"7,000",,http://www.statiz.co.kr/player.php?name=이용훈
박기혁,2014,롯데,"7,000",-0.169,http://www.statiz.co.kr/player.php?name=박기혁
고원준,2014,롯데,"6,800",,http://www.statiz.co.kr/player.php?name=고원준
문규현,2014,롯데,"6,800",1.307,http://www.statiz.co.kr/player.php?name=문규현
