선수명,연도,소속팀명,연봉,WAR,상세url
이승엽,2002,삼성,"41,000",8.955,http://www.statiz.co.kr/player.php?name=이승엽
양준혁,2002,삼성,"33,000",2.366,http://www.statiz.co.kr/player.php?name=양준혁
임창용,2002,삼성,"30,000",5.763,http://www.statiz.co.kr/player.php?name=임창용
마해영,2002,삼성,"20,000",5.608,http://www.statiz.co.kr/player.php?name=마해영
김한수,2002,삼성,"15,000",4.682,http://www.statiz.co.kr/player.php?name=김한수
김현욱,2002,삼성,"11,000",3.164,http://www.statiz.co.kr/player.php?name=김현욱
김진웅,2002,삼성,"10,000",0.187,http://www.statiz.co.kr/player.php?name=김진웅
진갑용,2002,삼성,"9,500",4.592,http://www.statiz.co.kr/player.php?name=진갑용
노장진,2002,삼성,"9,000",5.240,http://www.statiz.co.kr/player.php?name=노장진
오상민,2002,삼성,"9,000",0.127,http://www.statiz.co.kr/player.php?name=오상민
김태균,2002,삼성,"8,500",,http://www.statiz.co.kr/player.php?name=김태균
김종훈,2002,삼성,"8,500",1.020,http://www.statiz.co.kr/player.php?name=김종훈
전병호,2002,삼성,"6,500",0.877,http://www.statiz.co.kr/player.php?name=전병호
박동희,2002,삼성,"6,000",,http://www.statiz.co.kr/player.php?name=박동희
강동우,2002,삼성,"5,500",3.285,http://www.statiz.co.kr/player.php?name=강동우
김재걸,2002,삼성,"4,500",-0.110,http://www.statiz.co.kr/player.php?name=김재걸
배영수,2002,삼성,"4,500",0.409,http://www.statiz.co.kr/player.php?name=배영수
김승권,2002,삼성,"4,000",-0.508,http://www.statiz.co.kr/player.php?name=김승권
박한이,2002,삼성,"4,000",1.926,http://www.statiz.co.kr/player.php?name=박한이
박정환,2002,삼성,"3,800",1.270,http://www.statiz.co.kr/player.php?name=박정환
김수관,2002,삼성,"3,000",0.000,http://www.statiz.co.kr/player.php?name=김수관
라형진,2002,삼성,"3,000",0.814,http://www.statiz.co.kr/player.php?name=라형진
정성훈,2002,삼성,"2,800",,http://www.statiz.co.kr/player.php?name=정성훈
이준호,2002,삼성,"2,600",0.185,http://www.statiz.co.kr/player.php?name=이준호
문남열,2002,삼성,"2,500",-0.063,http://www.statiz.co.kr/player.php?name=문남열
최창양,2002,삼성,"2,500",,http://www.statiz.co.kr/player.php?name=최창양
정현욱,2002,삼성,"2,300",0.534,http://www.statiz.co.kr/player.php?name=정현욱
박영진,2002,삼성,"2,200",,http://www.statiz.co.kr/player.php?name=박영진
강영식,2002,삼성,"2,200",1.922,http://www.statiz.co.kr/player.php?name=강영식
장영균,2002,삼성,"2,200",0.090,http://www.statiz.co.kr/player.php?name=장영균
장성국,2002,삼성,"2,100",-0.162,http://www.statiz.co.kr/player.php?name=장성국
김덕윤,2002,삼성,"2,000",,http://www.statiz.co.kr/player.php?name=김덕윤
이정호,2002,삼성,"2,000",0.071,http://www.statiz.co.kr/player.php?name=이정호
하춘동,2002,삼성,"2,000",-0.070,http://www.statiz.co.kr/player.php?name=하춘동
김승관,2002,삼성,"2,000",-0.050,http://www.statiz.co.kr/player.php?name=김승관
이명호,2002,삼성,"1,900",,http://www.statiz.co.kr/player.php?name=이명호
구민호,2002,삼성,"1,900",,http://www.statiz.co.kr/player.php?name=구민호
이성수,2002,삼성,"1,800",,http://www.statiz.co.kr/player.php?name=이성수
박봉수,2002,삼성,"1,700",-0.099,http://www.statiz.co.kr/player.php?name=박봉수
