선수명,생년월일,연도,연봉,WAR
김경언,1982-12-07,2001,,0.155
김경언,1982-12-07,2002,"2,500",1.401
김경언,1982-12-07,2003,"4,300",0.443
김경언,1982-12-07,2004,"6,500",0.144
김경언,1982-12-07,2005,"5,000",0.544
김경언,1982-12-07,2006,"5,500",-0.375
김경언,1982-12-07,2008,"3,800",-0.183
김경언,1982-12-07,2009,"3,300",0.029
김경언,1982-12-07,2010,"3,300",0.630
김경언,1982-12-07,2011,"3,500",0.515
김경언,1982-12-07,2012,"4,000",1.731
김경언,1982-12-07,2013,"5,000",1.087
김경언,1982-12-07,2014,"5,800",0.939
김경언,1982-12-07,2015,"20,000",2.671
김경언,1982-12-07,2016,"20,000",0.084
김경언,1982-12-07,2017,"900,000",0.174
김민철,1982-03-14,2001,,-0.554
김민철,1982-03-14,2002,"2,000",-0.094
김민철,1982-03-14,2003,"2,400",-0.466
김민철,1982-03-14,2004,"2,300",-0.063
김민철,1982-03-14,2005,"2,300",0.029
김민철,1982-03-14,2006,"3,300",0.524
김상훈,1977-10-27,2000,,0.107
김상훈,1977-10-27,2001,"2,400",0.994
김상훈,1977-10-27,2002,"4,800",0.393
김상훈,1977-10-27,2003,"6,800",2.528
김상훈,1977-10-27,2004,"11,500",2.069
김상훈,1977-10-27,2005,"9,800",0.981
김상훈,1977-10-27,2006,"9,800",1.099
김상훈,1977-10-27,2007,"11,500",1.720
김상훈,1977-10-27,2008,"15,000",0.481
김상훈,1977-10-27,2009,"15,000",1.242
김상훈,1977-10-27,2010,"22,500",0.965
김상훈,1977-10-27,2011,"32,500",0.642
김상훈,1977-10-27,2012,"32,500",-0.167
김상훈,1977-10-27,2013,"17,000",0.212
김상훈,1977-10-27,2014,"900,000",-0.110
김인철,1971-07-14,1990,,0.132
김인철,1971-07-14,1991,,-0.333
김인철,1971-07-14,1992,,1.303
김인철,1971-07-14,1994,,0.315
김인철,1971-07-14,1995,,0.028
김인철,1971-07-14,1996,,0.589
김인철,1971-07-14,1997,"3,000",0.331
김인철,1971-07-14,2000,"1,800",-0.017
김인철,1971-07-14,2001,"2,500",-0.177
김인철,1971-07-14,2002,"2,500",-0.048
김인철,1971-07-14,2003,"2,800",-0.159
김인철,1971-07-14,2004,"3,300",-0.099
김인철,1971-07-14,2005,"2,800",1.470
김인철,1971-07-14,2006,"5,400",-0.048
김인철,1971-07-14,2007,"6,000",-0.321
김종국,1973-09-14,1996,,1.995
김종국,1973-09-14,1997,"3,600",0.477
김종국,1973-09-14,1998,"4,500",0.430
김종국,1973-09-14,1999,"3,900",0.161
김종국,1973-09-14,2000,"3,300",0.809
김종국,1973-09-14,2001,"3,900",1.988
김종국,1973-09-14,2002,"6,900",4.848
김종국,1973-09-14,2003,"11,000",1.766
김종국,1973-09-14,2004,"13,000",2.655
김종국,1973-09-14,2005,"11,000",0.812
김종국,1973-09-14,2006,"11,000",0.500
김종국,1973-09-14,2007,"15,000",2.085
김종국,1973-09-14,2008,"15,000",0.931
김종국,1973-09-14,2009,"12,000",0.003
김지영,1974-04-21,1994,,-0.038
김지영,1974-04-21,1995,,-0.147
김지영,1974-04-21,1997,"1,400",0.692
김지영,1974-04-21,1998,"2,400",0.037
김지영,1974-04-21,1999,"2,200",0.116
김지영,1974-04-21,2000,"2,400",-0.063
김지영,1974-04-21,2002,"2,100",-0.188
김지훈,1973-09-02,1999,"2,100",-0.363
김지훈,1973-09-02,2001,"2,100",-0.133
김지훈,1973-09-02,2002,"2,300",0.189
김지훈,1973-09-02,2003,"3,000",0.019
김지훈,1973-09-02,2004,"3,400",0.560
김창희,1973-07-03,1997,"2,000",1.609
김창희,1973-07-03,1998,"3,000",3.032
김창희,1973-07-03,1999,"4,000",2.047
김창희,1973-07-03,2000,"4,800",1.247
김창희,1973-07-03,2001,"4,900",1.311
김창희,1973-07-03,2002,"5,600",-0.532
김창희,1973-07-03,2003,"6,300",1.096
김창희,1973-07-03,2004,"7,500",1.652
김창희,1973-07-03,2005,"9,000",1.548
김창희,1973-07-03,2006,"9,000",0.666
김창희,1973-07-03,2007,"13,000",0.665
김창희,1973-07-03,2008,"13,000",1.108
김창희,1973-07-03,2009,"12,000",-0.314
김태룡,1968-02-23,1992,,-0.050
김태룡,1968-02-23,1993,,0.603
김태룡,1968-02-23,1994,,0.365
김태룡,1968-02-23,1996,,-0.064
김태룡,1968-02-23,1997,"3,200",0.965
김태룡,1968-02-23,1998,"3,400",-0.936
김태룡,1968-02-23,1999,"3,600",-0.160
김태룡,1968-02-23,2000,"3,300",-0.735
김태룡,1968-02-23,2001,"3,200",-0.305
김태룡,1968-02-23,2002,"4,300",0.033
신동주,1972-12-14,1992,,-0.111
신동주,1972-12-14,1993,,-0.020
신동주,1972-12-14,1994,,-0.176
신동주,1972-12-14,1995,,1.103
신동주,1972-12-14,1996,,1.596
신동주,1972-12-14,1997,"3,850",5.461
신동주,1972-12-14,1998,"5,500",1.857
신동주,1972-12-14,1999,"6,000",1.902
신동주,1972-12-14,2000,"8,000",2.014
신동주,1972-12-14,2001,"7,000",2.529
신동주,1972-12-14,2002,"8,600",1.422
신동주,1972-12-14,2003,"9,500",1.023
신동주,1972-12-14,2004,"10,000",0.130
신동주,1972-12-14,2005,"10,000",-0.405
신동주,1972-12-14,2006,"10,000",-0.186
심제훈,1978-10-11,2001,,-0.422
심제훈,1978-10-11,2002,"2,100",-0.025
심제훈,1978-10-11,2004,"1,800",0.005
오우진,1979-01-30,2001,,0.070
오우진,1979-01-30,2002,"2,000",-0.024
오우진,1979-01-30,2003,"2,100",-0.023
이대진,1974-06-09,1993,,2.343
이대진,1974-06-09,1994,,0.951
이대진,1974-06-09,1995,,5.391
이대진,1974-06-09,1996,,5.860
이대진,1974-06-09,1997,"9,000",4.891
이대진,1974-06-09,1998,"10,800",5.062
이대진,1974-06-09,1999,"11,000",0.086
이대진,1974-06-09,2000,"5,500",3.925
이대진,1974-06-09,2002,"11,500",-0.420
이대진,1974-06-09,2003,"8,500",-0.219
이대진,1974-06-09,2004,"7,000",-0.395
이대진,1974-06-09,2006,"7,000",-0.093
이대진,1974-06-09,2007,"6,300",1.148
이대진,1974-06-09,2008,"8,000",0.698
이대진,1974-06-09,2009,"10,000",0.225
이대진,1974-06-09,2010,"11,000",-0.182
이대진,1974-06-09,2011,"11,000",0.015
이대진,1974-06-09,2012,"5,000",-0.208
이동수,1973-03-24,1994,,0.076
이동수,1973-03-24,1995,,3.882
이동수,1973-03-24,1996,,2.358
이동수,1973-03-24,1997,,-0.545
이동수,1973-03-24,1998,,1.501
이동수,1973-03-24,1999,"4,500",4.560
이동수,1973-03-24,2000,"6,500",2.289
이동수,1973-03-24,2001,"6,500",2.758
이동수,1973-03-24,2002,"7,000",-0.042
이동수,1973-03-24,2003,"7,000",-0.298
이재주,1973-12-25,1992,,0.022
이재주,1973-12-25,1993,,1.831
이재주,1973-12-25,1994,,0.230
이재주,1973-12-25,1995,,-0.038
이재주,1973-12-25,1997,"2,200",0.690
이재주,1973-12-25,1998,"2,600",0.277
이재주,1973-12-25,1999,"3,200",-0.210
이재주,1973-12-25,2000,"3,000",0.276
이재주,1973-12-25,2001,"4,000",0.400
이재주,1973-12-25,2002,"4,000",-0.027
이재주,1973-12-25,2003,"3,600",0.732
이재주,1973-12-25,2004,"6,500",2.510
이재주,1973-12-25,2005,"5,800",0.608
이재주,1973-12-25,2006,"5,800",2.821
이재주,1973-12-25,2007,"10,000",0.510
이재주,1973-12-25,2008,"8,000",1.935
이재주,1973-12-25,2009,"12,000",-0.139
이종범,1970-08-15,1993,,6.137
이종범,1970-08-15,1994,,11.766
이종범,1970-08-15,1995,,5.034
이종범,1970-08-15,1996,,9.517
이종범,1970-08-15,1997,,9.700
이종범,1970-08-15,2001,"35,000",2.536
이종범,1970-08-15,2002,"43,000",5.236
이종범,1970-08-15,2003,"45,000",7.108
이종범,1970-08-15,2004,"48,000",4.270
이종범,1970-08-15,2005,"43,000",4.787
이종범,1970-08-15,2006,"50,000",0.793
이종범,1970-08-15,2007,"50,000",-2.039
이종범,1970-08-15,2008,"20,000",1.447
이종범,1970-08-15,2009,"20,000",0.865
이종범,1970-08-15,2010,"26,000",-0.100
이종범,1970-08-15,2011,"19,000",0.687
이현곤,1980-02-21,2002,,0.664
이현곤,1980-02-21,2003,"2,500",0.703
이현곤,1980-02-21,2004,"5,000",0.726
이현곤,1980-02-21,2006,"5,000",0.846
이현곤,1980-02-21,2007,"6,000",4.387
이현곤,1980-02-21,2008,"12,000",0.951
이현곤,1980-02-21,2009,"10,000",0.600
이현곤,1980-02-21,2010,"13,000",0.162
이현곤,1980-02-21,2011,"11,000",0.875
이현곤,1980-02-21,2012,"10,500",-0.011
이현곤,1980-02-21,2013,"15,000",0.273
이현곤,1980-02-21,2014,"900,000",-0.158
장성호,1977-10-18,1996,,-0.257
장성호,1977-10-18,1997,"2,500",0.317
장성호,1977-10-18,1998,"3,500",3.709
장성호,1977-10-18,1999,"5,000",5.633
장성호,1977-10-18,2000,"7,400",4.657
장성호,1977-10-18,2001,"10,000",5.161
장성호,1977-10-18,2002,"15,000",6.025
장성호,1977-10-18,2003,"20,000",5.585
장성호,1977-10-18,2004,"25,000",4.241
장성호,1977-10-18,2005,"35,000",3.374
장성호,1977-10-18,2006,"45,000",4.952
장성호,1977-10-18,2007,"45,000",2.944
장성호,1977-10-18,2008,"55,000",2.792
장성호,1977-10-18,2009,"55,000",1.543
장성호,1977-10-18,2010,"55,000",0.060
장성호,1977-10-18,2011,"20,000",1.412
장성호,1977-10-18,2012,"13,000",2.502
