ID,선수명,생년월일,팀명,연도,연봉,비고,,,,
60100,백창수,1988-05-09,LG,2010,2400,,,,,"구단에서 뿌리는 기사자료, 위키, 블로그 등에서 직접 찾아서 넣었음"
60102,이태원,1986-03-17,NC,2014,3300,,,,,"개명 선수의 경우 개명 전, 후를 비고란에 작성"
60184,김창혁,1991-05-17,한화,2018,?,,,,,https://enook.jbnu.ac.kr/138/ch01/04/salary_baseball.txt
60184,김창혁,1991-05-17,한화,2019,?,,,,,위의 링크에서 15년도 까지의 자료를 어느정도 정리해놓은 것 같아서 이를 통해 남은 부분을 채워 넣었음
60304,이창섭,1987-03-10,NC,2013,2400,,,,,위의 링크에서도 자료를 찾을 수 없는 경우는 아래와 같이 처리함
60404,송주호,1988-07-11,한화,2013,2700,,,,,1. 입단년도와 결측치 년도가 같은 경우 최저연봉으로 처리
60456,백상원,1988-01-02,삼성,2018,6000,,,,,"2. 지명 후 프로에 입단하지 않고, 대학을 졸업하고나서 프로에 입단한 경우 프로 입단년도를 입단년도로 처리했음"
60464,문선엽,1991-07-31,삼성,2017,2700,,,,,"3. 시즌 중 군 입대, 전역은 '기록없음'으로 처리"
60523,정훈,1987-07-18,롯데,2010,2400,,,,,4. 징역 및 선수자격 정지는 '기록없음'으로 처리
60558,오태곤,1991-11-18,롯데,2011,2400,오승택(개명 전 이름),,,,5. 위의 4가지 중 어떤 것에도 해당되지 않는 경우 사유 없이 '?'로 처리
60558,오태곤,1991-11-18,롯데,2014,2500,,,,,
60558,오태곤,1991-11-18,롯데,2015,3300,,,,,
60558,오태곤,1991-11-18,롯데,2016,7000,,,,,
60558,오태곤,1991-11-18,KT,2017,6000,,,,,
60566,이상호,1989-02-05,NC,2013,2400,,,,,
60605,홍재호,1987-05-10,KIA,2019,4000,,,,,
60648,이인행,1991-06-30,KIA,2019,3300,,,,,
60667,이종환,1986-05-08,KIA,2010,2400,,,,,
60667,이종환,1986-05-08,KIA,2012,기록없음,시즌 말 전역 후 합류,,,,
60667,이종환,1986-05-08,한화,2017,6000,,,,,
60693,이준호,1987-09-07,KIA,2011,2400,,,,,
60805,최윤석,1987-03-28,한화,2019,?,,,,,
61104,정병곤,1988-03-23,두산,2019,?,,,,,
61114,김재율,1989-01-14,LG,2012,2800,,,,,
61114,김재율,1989-01-14,LG,2019,?,,,,,
61186,이천웅,1988-10-20,LG,2012,2400,,,,,
61194,이민재,1988-02-05,LG,2012,2400,,,,,
61197,최영진,1988-05-10,LG,2012,2400,,,,,
61363,문우람,1992-03-08,우리/히어로즈/넥센/키움,2012,2400,,,,,
61366,홍성갑,1992-08-02,우리/히어로즈/넥센/키움,2014,2400,,,,,
61463,김정혁,1985-08-03,삼성,2014,?,,,,,
61463,김정혁,1985-08-03,삼성,2017,4300,,,,,
61591,김사훈,1987-06-18,롯데,2012,2400,,,,,
61591,김사훈,1987-06-18,롯데,2019,3900,,,,,
61604,유재혁,1992-03-29,KIA,2013,2700,,,,,
61693,한성구,1988-09-14,KIA,2012,?,,,,,
61742,나성용,1988-01-05,LG,2015,2800,,,,,
61742,나성용,1988-01-05,삼성,2017,3900,,,,,
61865,이윤재,1989-01-02,SK,2018,?,,,,,
62007,김지성,1985-07-20,LG,2013,2500,,,,,
62016,윤병호,1989-07-05,NC,2018,?,,,,,
62025,이원재,1989-05-20,NC,2017,2700,,,,,
62164,서상우,1989-09-17,LG,2019,5300,,,,,
62302,지재옥,1988-07-24,우리/히어로즈/넥센/키움,2016,?,,,,,
62332,김재현,1993-03-18,우리/히어로즈/넥센/키움,2018,5000,,,,,
62332,김재현,1993-03-18,우리/히어로즈/넥센/키움,2020,기록없음,시즌 말 전역 후 합류,,,,
62406,성의준,1989-12-17,삼성,2017,?,,,,,
62537,윤수강,1990-02-22,KT,2015,?,,,,,
62537,윤수강,1990-02-22,NC,2018,?,,,,,
62537,윤수강,1990-02-22,NC,2019,?,,,,,
62558,김준태,1994-07-31,롯데,2013,2400,,,,,
62559,김상호,1989-05-10,롯데,2013,2500,,,,,
62668,윤해진,1989-02-25,KIA,2013,4000,,,,,
62668,윤해진,1989-02-25,KIA,2014,3500,,,,,
62668,윤해진,1989-02-25,KIA,2015,3500,,,,,
62668,윤해진,1989-02-25,KIA,2016,3500,,,,,
62668,윤해진,1989-02-25,KIA,2019,?,,,,,
62748,엄태용,1994-02-24,한화,2013,2400,,,,,
62768,김원석,1989-10-29,한화,2017,3000,,,,,
62883,박인성,1990-03-23,SK,2013,2400,,,,,
62884,최항,1994-01-03,SK,2017,2700,,,,,
62894,정규창,1989-06-29,SK,2013,2400,,,,,
62895,한동민,1989-08-09,SK,2013,2400,,,,,
62895,한동민,1989-08-09,SK,2014,6500,,,,,
62895,한동민,1989-08-09,SK,2016,기록없음,시즌 말 전역 후 합류,,,,
62895,한동민,1989-08-09,SK,2017,7000,,,,,
62895,한동민,1989-08-09,SK,2018,15000,,,,,
62895,한동민,1989-08-09,SK,2019,33000,,,,,
62895,한동민,1989-08-09,SK,2020,25000,,,,,
62921,박헌욱,1993-04-11,NC,2019,?,,,,,
62927,김태우,1989-07-23,NC,2017,?,,,,,
63077,황목치승,1985-06-21,LG,2017,5000,,,,,
63088,김진곤,1987-09-10,KT,2019,3300,,,,,
63123,강승호,1994-02-09,SK,2019,9600,,,,,
63435,김성표,1994-03-17,삼성,2020,2800,,,,,
63558,정준혁,1994-04-01,롯데,2019,?,,,,,
63593,조홍석,1990-02-23,롯데,2019,3600,,,,,
63601,김광연,1991-11-13,KIA,2014,2600,,,,,
63636,고장혁,1990-01-08,KIA,2020,5000,,,,,
63698,황수현,1991-08-31,KIA,2015,2700,,,,,
63703,박한결,1994-12-24,한화,2019,2700,,,,,
63895,최민재,1994-01-08,SK,2019,2800,,,,,
63903,유영준,1994-07-13,NC,2017,2700,,,,,
63903,유영준,1994-07-13,NC,2019,?,,,,,
63920,김준완,1991-01-20,NC,2014,?,,,,,
64011,안승한,1992-01-25,KT,2019,?,,,,,
64014,김병희,1990-12-06,KT,2019,?,,,,,
64022,안중열,1995-09-01,롯데,2015,2800,,,,,
64022,안중열,1995-09-01,롯데,2019,5100,,,,,
64101,한석현,1994-05-17,LG,2020,2700,,,,,
64153,양석환,1991-07-15,LG,2018,16000,,,,,
64153,양석환,1991-07-15,LG,2020,기록없음,시즌 말 전역 후 합류,,,,
64164,류형우,1995-05-07,LG,2019,?,,,,,
64209,정기훈,1995-02-18,한화,2020,2700,,,,,
64260,김경호,1995-07-31,두산,2019,?,,,,,
64260,김경호,1995-07-31,SK,2020,2900,,,,,
64340,임지열,1995-08-22,우리/히어로즈/넥센/키움,2019,2700,,,,,
64340,임지열,1995-08-22,우리/히어로즈/넥센/키움,2020,2700,,,,,
64501,배성근,1995-04-27,롯데,2019,?,,,,,
64504,오윤석,1992-02-24,롯데,2019,3000,,,,,
64610,강한울,1991-09-12,삼성,2018,15500,,,,,
64610,강한울,1991-09-12,삼성,2020,12000,,,,,
64704,노태형,1995-02-08,한화,2020,2700,,,,,
