ID,선수명,생년월일,팀명,연도,연봉,비고,,,,
60105,배민관,1991-07-29,LG,2018,?,,,,,"구단에서 뿌리는 기사자료, 위키, 블로그 등에서 직접 찾아서 넣었음"
60198,이성진,1992-02-23,LG,2012,2400,,,,,"개명 선수의 경우 개명 전, 후를 비고란에 작성"
60337,김대유,1991-05-08,SK,2014,?,,,,,https://enook.jbnu.ac.kr/138/ch01/04/salary_baseball.txt
60339,김건태,1991-10-02,우리/히어로즈/넥센/키움,2012,2400,김정훈(개명 전 이름),,,,위의 링크에서 15년도 까지의 자료를 어느정도 정리해놓은 것 같아서 이를 통해 남은 부분을 채워 넣었음
60339,김건태,1991-10-02,우리/히어로즈/넥센/키움,2015,2800,김정훈(개명 전 이름),,,,위의 링크에서도 자료를 찾을 수 없는 경우는 아래와 같이 처리함
60339,김건태,1991-10-02,우리/히어로즈/넥센/키움,2016,3400,,,,,1. 입단년도와 결측치 년도가 같은 경우 최저연봉으로 처리
60342,정회찬,1987-02-07,우리/히어로즈/넥센/키움,2016,2700,,,,,"2. 지명 후 프로에 입단하지 않고, 대학을 졸업하고나서 프로에 입단한 경우 프로 입단년도를 입단년도로 처리했음"
60457,김현우,1988-01-21,삼성,2017,5500,,,,,"3. 시즌 중 군 입대, 전역은 '기록없음'으로 처리"
60559,박시영,1989-03-10,롯데,2010,2400,,,,,4. 징역 및 선수자격 정지는 '기록없음'으로 처리
60636,심동섭,1991-09-20,KIA,2018,13000,,,,,5. 위의 4가지 중 어떤 것에도 해당되지 않는 경우 사유 없이 '?'로 처리
60848,최원재,1987-04-29,KT,2017,3700,,,,,
60864,이상백,1987-03-10,SK,2014,2500,,,,,
61145,이우찬,1992-08-04,LG,2016,2700,이영재(개명 전 이름),,,,
61215,안규영,1988-04-12,두산,2017,?,,,,,
61267,최현정,1992-12-03,KIA,2014,2400,2014 신고선수 입단,,,,
61268,양현,1992-08-23,두산,2015,2700,,,,,
61329,윤지웅,1988-03-11,NC,2019,5800,,,,,
61357,이희성,1988-03-09,LG,2012,?,2013년 2500만원,,,,
61396,박정준,1992-03-22,우리/히어로즈/넥센/키움,2016,2700,,,,,
61411,심창민,1993-02-01,삼성,2018,23000,,,,,
61411,심창민,1993-02-01,삼성,2020,28000,,,,,
61495,명재철,1989-01-17,한화,2013,2500,2013 신고선수 입단,,,,
61496,황수범,1986-11-17,삼성,2018,3800,,,,,
61569,이경우,1987-11-09,롯데,2016,2800,,,,,
61715,유창식,1992-05-15,KIA,2016,기록없음,승부조작으로 인한 선수 자격 정지,,,,
61830,신정익,1987-02-04,SK,2012,?,,,,,
61891,임정우,1991-04-02,LG,2018,14000,,,,,
62263,변시원,1993-04-01,두산,2013,4500,변진수(개명 전 이름),,,,
62263,변시원,1993-04-01,두산,2014,6500,변진수(개명 전 이름),,,,
62263,변시원,1993-04-01,두산,2015,7300,변진수(개명 전 이름),,,,
62263,변시원,1993-04-01,두산,2018,6000,변진수(개명 전 이름),,,,
62338,박종윤,1993-02-09,우리/히어로즈/넥센/키움,2017,2700,,,,,
62360,김태훈,1992-03-02,우리/히어로즈/넥센/키움,2014,2400,김동준(개명 전 이름),,,,
62360,김태훈,1992-03-02,우리/히어로즈/넥센/키움,2015,3000,김동준(개명 전 이름),,,,
62360,김태훈,1992-03-02,우리/히어로즈/넥센/키움,2018,4900,김동준(개명 전 이름),,,,
62360,김태훈,1992-03-02,우리/히어로즈/넥센/키움,2019,5600,김동준(개명 전 이름),,,,
62360,김태훈,1992-03-02,우리/히어로즈/넥센/키움,2020,8000,김동준(개명 전 이름),,,,
62463,이준형,1993-06-03,LG,2015,2800,,,,,
62892,허건엽,1993-07-24,SK,2014,2800,,,,,
62941,정진,1979-08-06,NC,2013,2400,정성기(개명 전 이름),,,,
