선수명,연도,소속팀명,연봉,WAR,상세url
조정원,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=조정원
안승민,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=안승민
여인태,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=여인태
이주형,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=이주형
김명서,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=김명서
김병현,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=김병현
김지훈,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=김지훈
정기훈,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=정기훈
정경운,2018,한화,"900,000",-0.236,http://www.statiz.co.kr/player.php?name=정경운
원혁재,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=원혁재
염진우,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=염진우
홍성갑,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=홍성갑
이도윤,2018,한화,"900,000",-0.025,http://www.statiz.co.kr/player.php?name=이도윤
조지훈,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=조지훈
채기영,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=채기영
엄태용,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=엄태용
권용우,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=권용우
이동걸,2018,한화,"900,000",-0.080,http://www.statiz.co.kr/player.php?name=이동걸
강상원,2018,한화,"900,000",-0.012,http://www.statiz.co.kr/player.php?name=강상원
김혁민,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=김혁민
휠러,2018,한화,"900,000",1.426,http://www.statiz.co.kr/player.php?name=휠러
샘슨,2018,한화,"900,000",2.969,http://www.statiz.co.kr/player.php?name=샘슨
박정진,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=박정진
오흥진,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=오흥진
홍유상,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=홍유상
김강래,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=김강래
강명준,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=강명준
강승현,2018,한화,"900,000",0.016,http://www.statiz.co.kr/player.php?name=강승현
송주호,2018,한화,"900,000",,http://www.statiz.co.kr/player.php?name=송주호
