선수명,연도,소속팀명,연봉,WAR,상세url
박경완,2002,현대,"28,000",2.020,http://www.statiz.co.kr/player.php?name=박경완
박재홍,2002,현대,"22,000",3.123,http://www.statiz.co.kr/player.php?name=박재홍
전준호,2002,현대,"20,000",3.234,http://www.statiz.co.kr/player.php?name=전준호
심정수,2002,현대,"16,000",7.445,http://www.statiz.co.kr/player.php?name=심정수
이숭용,2002,현대,"16,000",2.883,http://www.statiz.co.kr/player.php?name=이숭용
박진만,2002,현대,"16,000",1.405,http://www.statiz.co.kr/player.php?name=박진만
임선동,2002,현대,"15,500",1.800,http://www.statiz.co.kr/player.php?name=임선동
위재영,2002,현대,"15,000",1.020,http://www.statiz.co.kr/player.php?name=위재영
박종호,2002,현대,"13,500",1.165,http://www.statiz.co.kr/player.php?name=박종호
김수경,2002,현대,"11,500",2.134,http://www.statiz.co.kr/player.php?name=김수경
전준호,2002,현대,"6,900",3.234,http://www.statiz.co.kr/player.php?name=전준호
신철인,2002,현대,"6,300",1.133,http://www.statiz.co.kr/player.php?name=신철인
마일영,2002,현대,"6,100",1.391,http://www.statiz.co.kr/player.php?name=마일영
박장희,2002,현대,"5,000",0.124,http://www.statiz.co.kr/player.php?name=박장희
권준헌,2002,현대,"4,000",2.216,http://www.statiz.co.kr/player.php?name=권준헌
장광호,2002,현대,"4,000",,http://www.statiz.co.kr/player.php?name=장광호
이재주,2002,현대,"3,800",,http://www.statiz.co.kr/player.php?name=이재주
송신영,2002,현대,"3,600",1.621,http://www.statiz.co.kr/player.php?name=송신영
이상열,2002,현대,"3,500",1.803,http://www.statiz.co.kr/player.php?name=이상열
장정석,2002,현대,"3,200",,http://www.statiz.co.kr/player.php?name=장정석
김민범,2002,현대,"2,800",0.419,http://www.statiz.co.kr/player.php?name=김민범
홍민구,2002,현대,"2,500",,http://www.statiz.co.kr/player.php?name=홍민구
전근표,2002,현대,"2,500",0.188,http://www.statiz.co.kr/player.php?name=전근표
정현택,2002,현대,"2,300",,http://www.statiz.co.kr/player.php?name=정현택
채종국,2002,현대,"2,300",0.143,http://www.statiz.co.kr/player.php?name=채종국
정수성,2002,현대,"2,300",-0.039,http://www.statiz.co.kr/player.php?name=정수성
황윤성,2002,현대,"2,200",0.385,http://www.statiz.co.kr/player.php?name=황윤성
박준수,2002,현대,"2,100",0.023,http://www.statiz.co.kr/player.php?name=박준수
조승현,2002,현대,"2,100",-0.212,http://www.statiz.co.kr/player.php?name=조승현
이근용,2002,현대,"2,100",,http://www.statiz.co.kr/player.php?name=이근용
장기영,2002,현대,"2,100",,http://www.statiz.co.kr/player.php?name=장기영
서성민,2002,현대,"2,000",-0.456,http://www.statiz.co.kr/player.php?name=서성민
노승욱,2002,현대,"2,000",,http://www.statiz.co.kr/player.php?name=노승욱
김필중,2002,현대,"2,000",0.004,http://www.statiz.co.kr/player.php?name=김필중
문창환,2002,현대,"2,000",,http://www.statiz.co.kr/player.php?name=문창환
이용주,2002,현대,"2,000",-0.061,http://www.statiz.co.kr/player.php?name=이용주
김일경,2002,현대,"2,000",0.060,http://www.statiz.co.kr/player.php?name=김일경
설의석,2002,현대,"2,000",,http://www.statiz.co.kr/player.php?name=설의석
여승현,2002,현대,"2,000",,http://www.statiz.co.kr/player.php?name=여승현
황두성,2002,현대,"2,000",0.077,http://www.statiz.co.kr/player.php?name=황두성
강해룡,2002,현대,"1,800",,http://www.statiz.co.kr/player.php?name=강해룡
이상현,2002,현대,"1,800",,http://www.statiz.co.kr/player.php?name=이상현
강의석,2002,현대,"1,700",,http://www.statiz.co.kr/player.php?name=강의석
이철기,2002,현대,"1,700",,http://www.statiz.co.kr/player.php?name=이철기
김성태,2002,현대,"1,700",0.076,http://www.statiz.co.kr/player.php?name=김성태
