선수명,연도,소속팀명,연봉,WAR,상세url
김수경,2008,히어로즈,"34,000",1.849,http://www.statiz.co.kr/player.php?name=김수경
정성훈,2008,히어로즈,"32,000",2.141,http://www.statiz.co.kr/player.php?name=정성훈
송지만,2008,히어로즈,"22,000",1.820,http://www.statiz.co.kr/player.php?name=송지만
이숭용,2008,히어로즈,"17,000",0.603,http://www.statiz.co.kr/player.php?name=이숭용
이택근,2008,히어로즈,"13,000",4.604,http://www.statiz.co.kr/player.php?name=이택근
송신영,2008,히어로즈,"12,000",0.795,http://www.statiz.co.kr/player.php?name=송신영
전준호,2008,히어로즈,"11,000",2.184,http://www.statiz.co.kr/player.php?name=전준호
박준수,2008,히어로즈,"9,000",0.591,http://www.statiz.co.kr/player.php?name=박준수
장원삼,2008,히어로즈,"8,000",5.571,http://www.statiz.co.kr/player.php?name=장원삼
김동수,2008,히어로즈,"8,000",0.686,http://www.statiz.co.kr/player.php?name=김동수
조용준,2008,히어로즈,"8,000",,http://www.statiz.co.kr/player.php?name=조용준
황두성,2008,히어로즈,"7,300",2.073,http://www.statiz.co.kr/player.php?name=황두성
이상열,2008,히어로즈,"7,000",-0.131,http://www.statiz.co.kr/player.php?name=이상열
전준호,2008,히어로즈,"7,000",2.184,http://www.statiz.co.kr/player.php?name=전준호
강귀태,2008,히어로즈,"5,000",0.706,http://www.statiz.co.kr/player.php?name=강귀태
마일영,2008,히어로즈,"5,000",3.666,http://www.statiz.co.kr/player.php?name=마일영
정수성,2008,히어로즈,"4,700",0.188,http://www.statiz.co.kr/player.php?name=정수성
신철인,2008,히어로즈,"4,500",0.094,http://www.statiz.co.kr/player.php?name=신철인
강병식,2008,히어로즈,"4,000",0.627,http://www.statiz.co.kr/player.php?name=강병식
조용훈,2008,히어로즈,"4,000",0.842,http://www.statiz.co.kr/player.php?name=조용훈
김일경,2008,히어로즈,"4,000",0.699,http://www.statiz.co.kr/player.php?name=김일경
이현승,2008,히어로즈,"3,700",1.767,http://www.statiz.co.kr/player.php?name=이현승
유한준,2008,히어로즈,"3,700",,http://www.statiz.co.kr/player.php?name=유한준
박장희,2008,히어로즈,"3,300",,http://www.statiz.co.kr/player.php?name=박장희
노환수,2008,히어로즈,"3,300",0.311,http://www.statiz.co.kr/player.php?name=노환수
조중근,2008,히어로즈,"3,300",0.139,http://www.statiz.co.kr/player.php?name=조중근
이대환,2008,히어로즈,"3,300",,http://www.statiz.co.kr/player.php?name=이대환
전근표,2008,히어로즈,"3,200",0.044,http://www.statiz.co.kr/player.php?name=전근표
조재호,2008,히어로즈,"3,000",-0.121,http://www.statiz.co.kr/player.php?name=조재호
이동학,2008,히어로즈,"2,800",0.040,http://www.statiz.co.kr/player.php?name=이동학
황재균,2008,히어로즈,"2,800",0.144,http://www.statiz.co.kr/player.php?name=황재균
지석훈,2008,히어로즈,"2,800",-0.175,http://www.statiz.co.kr/player.php?name=지석훈
차화준,2008,히어로즈,"2,500",0.050,http://www.statiz.co.kr/player.php?name=차화준
이정호,2008,히어로즈,"2,200",-0.045,http://www.statiz.co.kr/player.php?name=이정호
이보근,2008,히어로즈,"2,200",-0.014,http://www.statiz.co.kr/player.php?name=이보근
김영민,2008,히어로즈,"2,200",,http://www.statiz.co.kr/player.php?name=김영민
김민우,2008,히어로즈,"2,200",-0.202,http://www.statiz.co.kr/player.php?name=김민우
오윤,2008,히어로즈,"2,100",0.044,http://www.statiz.co.kr/player.php?name=오윤
허준,2008,히어로즈,"2,100",0.078,http://www.statiz.co.kr/player.php?name=허준
권도영,2008,히어로즈,"2,000",0.016,http://www.statiz.co.kr/player.php?name=권도영
조평호,2008,히어로즈,"2,000",-0.213,http://www.statiz.co.kr/player.php?name=조평호
장기영,2008,히어로즈,"2,000",,http://www.statiz.co.kr/player.php?name=장기영
배힘찬,2008,히어로즈,"2,000",-0.135,http://www.statiz.co.kr/player.php?name=배힘찬
전승윤,2008,히어로즈,"2,000",,http://www.statiz.co.kr/player.php?name=전승윤
조순권,2008,히어로즈,"2,000",-0.039,http://www.statiz.co.kr/player.php?name=조순권
김남형,2008,히어로즈,"2,000",-0.066,http://www.statiz.co.kr/player.php?name=김남형
장태종,2008,히어로즈,"2,000",-0.282,http://www.statiz.co.kr/player.php?name=장태종
장효훈,2008,히어로즈,"2,000",,http://www.statiz.co.kr/player.php?name=장효훈
박동욱,2008,히어로즈,"2,000",,http://www.statiz.co.kr/player.php?name=박동욱
유선정,2008,히어로즈,"2,000",-0.198,http://www.statiz.co.kr/player.php?name=유선정
정종수,2008,히어로즈,"2,000",-0.019,http://www.statiz.co.kr/player.php?name=정종수
강정호,2008,히어로즈,"2,000",2.410,http://www.statiz.co.kr/player.php?name=강정호
유재신,2008,히어로즈,"2,000",0.096,http://www.statiz.co.kr/player.php?name=유재신
최현종,2008,히어로즈,"2,000",-0.307,http://www.statiz.co.kr/player.php?name=최현종
