연도,팀명,선수명
2002,KIA,다니엘 리오스
2002,KIA,마크 키퍼
2002,KIA,워렌 뉴선
2002,KIA,루디 펨버튼
2003,KIA,다니엘 리오스
2003,KIA,마이크 존슨
2004,KIA,다니엘 리오스
2004,KIA,홀리오 마뇽
2005,KIA,마이크 존슨
2005,KIA,세그 그레이싱어
2005,KIA,맷 블랭크
2006,KIA,세스 그레이싱어
2006,KIA,스캇 시볼
2006,KIA,마이크 서브넥
2007,KIA,세스 에서튼
2007,KIA,제이슨 스코비
2007,KIA,펠릭스 로드리게스
2007,KIA,래리 서튼
2008,KIA,호세 리마
2008,KIA,펠릭스 디아즈
2008,KIA,케인 데이비스
2008,KIA,윌슨 발데스
2009,KIA,아킬리노 로페즈
2009,KIA,릭 구톰슨
2010,KIA,로만 콜론
2010,KIA,매트 라이트
2010,KIA,아킬리노 로페즈
2011,KIA,아킬리노 로페즈
2011,KIA,트레비스 블랙클리
2012,KIA,앤서니 르루
2012,KIA,호라시오 라미레즈
2012,KIA,헨리 소사
2013,KIA,헨리 소사
2013,KIA,앤서니 르루
2013,KIA,듀웨인 빌로우
2014,KIA,하이로 어센시오
2014,KIA,DJ. 홀튼
2014,KIA,저스틴 토마스
2014,KIA,브렛 필
2015,KIA,필립 험버
2015,KIA,조쉬 스틴슨
2015,KIA,에반 믹
2015,KIA,브렛 필
2016,KIA,헥터 노에시
2016,KIA,지크 스프루일
2016,KIA,브렛 필
2017,KIA,헥터 노에시
2017,KIA,팻딘
2017,KIA,로저 버나디나
2018,KIA,헥터 노에시
2018,KIA,팻딘
2018,KIA,로저 버나디나
2019,KIA,제이콥 터너
2019,KIA,조 윌랜드
2019,KIA,제레미 해즐베이커
2019,KIA,프레스턴 터커
2020,KIA,애런 브룩스
2020,KIA,드류 가뇽
2020,KIA,프레스턴 터커
2002,두산,빅터 콜
2002,두산,게리 레스
2002,두산,타이론 우즈
2003,두산,이리키 사토시
2003,두산,마크 키퍼
2003,두산,마이크 쿨바
2004,두산,게리 레스
2004,두산,마크 키퍼
2004,두산,이지 알칸트라
2005,두산,맷 랜들
2005,두산,척 스미스
2005,두산,다니엘 리오스
2006,두산,맷 랜들
2006,두산,다니엘 리오스
2007,두산,맷 랜들
2007,두산,다니엘 리오스
2008,두산,맷 랜들
2008,두산,게리 레스
2008,두산,저스틴 레이어
2009,두산,후안 세데뇨
2009,두산,크리스 니코스키
2009,두산,맷 왓슨
2010,두산,레스 왈론드
2010,두산,켈빈 히메네스
2011,두산,더스틴 니퍼트
2011,두산,페르난도 니에베
2012,두산,더스틴 니퍼트
2012,두산,스콧 프록터
